settlement_id,settlement_date,currency,status,gross_amount,net_amount,fee_amount,clearing_house,batch_id
STL-20240114-0001,2024-01-14,USD,completed,598038.16,591717.1,6321.06,CHIPS,BATCH-20240114-01
STL-20240115-0002,2024-01-15,EUR,pending,519715.7,517950.78,1764.92,Fedwire,BATCH-20240115-01
STL-20240116-0003,2024-01-16,GBP,failed,143075.11,142171.97,903.14,Fedwire,BATCH-20240116-01
STL-20240114-0004,2024-01-14,CAD,reconciled,583499.04,576030.29,7468.75,CHIPS,BATCH-20240114-01
STL-20240115-0005,2024-01-15,USD,completed,198545.62,198257.85,287.77,SEPA,BATCH-20240115-01
STL-20240116-0006,2024-01-16,EUR,pending,343984.25,343321.52,662.73,SEPA,BATCH-20240116-02
STL-20240114-0007,2024-01-14,GBP,failed,184669.43,183194.06,1475.37,LYNX,BATCH-20240114-02
STL-20240115-0008,2024-01-15,CAD,reconciled,125726.49,125354.99,371.5,SEPA,BATCH-20240115-02
STL-20240116-0009,2024-01-16,USD,completed,636226.67,631774.31,4452.36,LYNX,BATCH-20240116-02
STL-20240114-000A,2024-01-14,EUR,pending,310886.99,306235.32,4651.67,Fedwire,BATCH-20240114-02
STL-20240115-000B,2024-01-15,GBP,failed,435549.72,434559.83,989.89,CHIPS,BATCH-20240115-03
STL-20240116-000C,2024-01-16,CAD,reconciled,732631.96,730331.66,2300.3,Fedwire,BATCH-20240116-03
STL-20240114-000D,2024-01-14,USD,completed,674307.06,669647.44,4659.62,CHIPS,BATCH-20240114-03
STL-20240115-000E,2024-01-15,EUR,pending,330128.38,327044.18,3084.2,LYNX,BATCH-20240115-03
STL-20240116-000F,2024-01-16,GBP,failed,452101.62,445503.15,6598.47,CHIPS,BATCH-20240116-03
STL-20240114-0010,2024-01-14,CAD,reconciled,579839.48,578329.74,1509.74,SEPA,BATCH-20240114-04
STL-20240115-0011,2024-01-15,USD,completed,654465.93,650694.6,3771.33,SEPA,BATCH-20240115-04
SETTLE-BAD,2024-01-16,EUR,pending,-100,369638.88,2737.76,SEPA,BATCH-20240116-04
STL-20240114-0013,,USD,unknown,826245.44,816605.25,9640.19,CHIPS,BATCH-20240114-04
STL-20240115-0014,2024-01-15,CAD,reconciled,740588.19,736753.26,3834.93,Fedwire,BATCH-20240115-04
