transaction_id,account_id,settlement_id,amount,currency,status,transaction_type,settlement_date,channel,memo
TXN-20240114-0001,ACC-000001,STL-20240114-0001,11467.18,USD,posted,wire,2024-01-14,online,Synthetic payment 1
TXN-20240115-0002,ACC-000002,STL-20240115-0002,57189.5,EUR,pending,ach,2024-01-15,branch,Synthetic payment 2
TXN-20240116-0003,ACC-000003,STL-20240116-0003,40455.73,GBP,reversed,card,2024-01-16,atm,Synthetic payment 3
TXN-20240114-0004,ACC-000004,STL-20240114-0004,58398.09,CAD,settled,internal,2024-01-14,mobile,Synthetic payment 4
TXN-20240115-0005,ACC-000005,STL-20240115-0005,39778.87,USD,posted,wire,2024-01-15,api,Synthetic payment 5
TXN-20240116-0006,ACC-000006,STL-20240116-0006,47.89,EUR,pending,ach,2024-01-16,online,Synthetic payment 6
TXN-20240114-0007,ACC-000007,STL-20240114-0007,24315.08,GBP,reversed,card,2024-01-14,branch,Synthetic payment 7
TXN-20240115-0008,ACC-000008,STL-20240115-0008,1465.66,CAD,settled,internal,2024-01-15,atm,Synthetic payment 8
TXN-20240116-0009,ACC-000009,STL-20240116-0009,69682.75,USD,posted,wire,2024-01-16,mobile,Synthetic payment 9
TXN-20240114-0010,ACC-000010,STL-20240114-000A,65904.75,EUR,pending,ach,2024-01-14,api,Synthetic payment 10
TXN-20240115-0011,ACC-000011,STL-20240115-000B,62375.76,GBP,reversed,card,2024-01-15,online,Synthetic payment 11
TXN-20240116-0012,ACC-000012,STL-20240116-000C,23067.02,CAD,settled,internal,2024-01-16,branch,Synthetic payment 12
TXN-20240114-0013,ACC-000015,STL-20240114-000D,4349.1,USD,posted,wire,2024-01-14,atm,Synthetic payment 13
TXN-20240115-0014,ACC-000001,STL-20240115-000E,65851.33,EUR,pending,ach,2024-01-15,mobile,Synthetic payment 14
TXN-20240116-0015,ACC-000002,STL-20240116-000F,71021.47,GBP,reversed,card,2024-01-16,api,Synthetic payment 15
TXN-20240114-0016,ACC-000003,STL-20240114-0010,6428.58,CAD,settled,internal,2024-01-14,online,Synthetic payment 16
TXN-20240115-0017,ACC-000004,STL-20240115-0011,36451.85,USD,posted,wire,2024-01-15,branch,Synthetic payment 17
TXN-20240115-0018,ACC-000005,STL-20240115-0014,5195.59,CAD,pending,ach,2024-01-15,atm,Synthetic payment 18
TXN-20240114-0019,ACC-000006,STL-20240114-0001,57046.36,USD,reversed,card,2024-01-14,mobile,Synthetic payment 19
TXN-20240115-0020,ACC-000007,STL-20240115-0002,57438.75,EUR,settled,internal,2024-01-15,api,Synthetic payment 20
TXN-20240116-0021,ACC-000008,STL-20240116-0003,9633.72,GBP,posted,wire,2024-01-16,online,Synthetic payment 21
TXN-20240114-0022,ACC-000009,STL-20240114-0004,35648.8,CAD,pending,ach,2024-01-14,branch,Synthetic payment 22
TXN-20240115-0023,ACC-000010,STL-20240115-0005,41237.52,USD,reversed,card,2024-01-15,atm,Synthetic payment 23
TXN-20240116-0024,ACC-000011,STL-20240116-0006,19882.92,EUR,settled,internal,2024-01-16,mobile,Synthetic payment 24
TXN-20240114-0025,ACC-000012,STL-20240114-0007,65433.12,GBP,posted,wire,2024-01-14,api,Synthetic payment 25
TXN-20240115-0026,ACC-000015,STL-20240115-0008,31738.23,CAD,pending,ach,2024-01-15,online,Synthetic payment 26
TXN-20240116-0027,ACC-000001,STL-20240116-0009,15888.81,USD,reversed,card,2024-01-16,branch,Synthetic payment 27
TXN-20240114-0028,ACC-000002,STL-20240114-000A,40449.51,EUR,settled,internal,2024-01-14,atm,Synthetic payment 28
TXN-20240115-0029,ACC-000003,STL-20240115-000B,54746.18,GBP,posted,wire,2024-01-15,mobile,Synthetic payment 29
TXN-20240116-0030,ACC-000004,STL-20240116-000C,15090.32,CAD,pending,ach,2024-01-16,api,Synthetic payment 30
TXN-20240114-0031,ACC-000005,STL-20240114-000D,23382.16,USD,reversed,card,2024-01-14,online,Synthetic payment 31
TXN-20240115-0032,ACC-000006,STL-20240115-000E,74636.23,EUR,settled,internal,2024-01-15,branch,Synthetic payment 32
TXN-20240116-0033,ACC-000007,STL-20240116-000F,48742.6,GBP,posted,wire,2024-01-16,atm,Synthetic payment 33
TXN-20240114-0034,ACC-000008,STL-20240114-0010,32860.32,CAD,pending,ach,2024-01-14,mobile,Synthetic payment 34
TXN-20240115-0035,ACC-000009,STL-20240115-0011,38820.6,USD,reversed,card,2024-01-15,api,Synthetic payment 35
TXN-20240115-0036,ACC-000010,STL-20240115-0014,9079.71,CAD,settled,internal,2024-01-15,online,Synthetic payment 36
TXN-20240114-0037,ACC-000011,STL-20240114-0001,16856.18,USD,posted,wire,2024-01-14,branch,Synthetic payment 37
TXN-20240115-0038,ACC-000012,STL-20240115-0002,25359.73,EUR,pending,ach,2024-01-15,atm,Synthetic payment 38
TXN-20240116-0039,ACC-000015,STL-20240116-0003,44125.21,GBP,reversed,card,2024-01-16,mobile,Synthetic payment 39
TXN-20240114-0040,ACC-000001,STL-20240114-0004,17262.45,CAD,settled,internal,2024-01-14,api,Synthetic payment 40
TXN-20240115-0041,ACC-000002,STL-20240115-0005,16520.2,USD,posted,wire,2024-01-15,online,Synthetic payment 41
TXN-20240116-0042,ACC-000003,STL-20240116-0006,5329.13,EUR,pending,ach,2024-01-16,branch,Synthetic payment 42
