order_id,customer_id,product_id,order_amount,quantity,status,channel,order_date
ORD-00001,CUST-0001,PRD-0001,19.05,1,pending,web,2024-01-02
ORD-00002,CUST-0002,PRD-0002,426.64,4,shipped,mobile,2024-01-03
ORD-00003,CUST-0003,PRD-0003,921.30,3,delivered,marketplace,2024-01-04
ORD-00004,CUST-0004,PRD-0004,1076.00,4,cancelled,store,2024-01-05
ORD-00005,CUST-0005,PRD-0005,148.23,3,returned,web,2024-01-06
ORD-00006,CUST-0006,PRD-0006,548.18,2,pending,mobile,2024-01-07
ORD-00007,CUST-0007,PRD-0007,973.44,3,shipped,marketplace,2024-01-08
ORD-00008,CUST-0008,PRD-0008,580.29,3,delivered,store,2024-01-09
ORD-00009,CUST-0009,PRD-0009,261.92,2,cancelled,web,2024-01-10
ORD-00010,CUST-0010,PRD-0010,949.74,3,returned,mobile,2024-01-11
ORD-00011,CUST-0011,PRD-0011,76.72,1,pending,marketplace,2024-01-12
ORD-00012,CUST-0012,PRD-0012,244.95,5,shipped,store,2024-01-13
ORD-00013,CUST-0013,PRD-0013,765.18,2,delivered,web,2024-01-14
ORD-00014,CUST-0014,PRD-0014,1823.75,5,cancelled,mobile,2024-01-01
ORD-00015,CUST-0015,PRD-0098,-10.00,2,returned,marketplace,2024-01-02
ORD-00016,CUST-0016,PRD-0001,38.10,2,pending,store,2024-01-03
ORD-00017,CUST-0017,PRD-0002,426.64,4,shipped,web,2024-01-04
ORD-00018,CUST-0018,PRD-0003,1228.40,4,delivered,mobile,2024-01-05
ORD-00019,CUST-0001,PRD-0004,807.00,3,cancelled,marketplace,2024-01-06
ORD-00020,CUST-0002,PRD-0005,247.05,5,returned,store,2024-01-07
ORD-00021,CUST-0003,PRD-0006,548.18,2,pending,web,2024-01-08
ORD-00022,CUST-0004,PRD-0007,973.44,3,shipped,mobile,2024-01-09
ORD-00023,CUST-0005,PRD-0008,193.43,1,delivered,marketplace,2024-01-10
ORD-00024,CUST-0006,PRD-0009,261.92,2,cancelled,store,2024-01-11
ORD-00025,CUST-0007,PRD-0010,316.58,1,returned,web,2024-01-12
ORD-00026,CUST-0008,PRD-0011,230.16,3,pending,mobile,2024-01-13
ORD-00027,CUST-0009,PRD-0012,195.96,4,shipped,marketplace,2024-01-14
ORD-00028,CUST-0010,PRD-0013,1147.77,3,delivered,store,2024-01-01
ORD-00029,CUST-0011,PRD-0014,364.75,1,cancelled,web,2024-01-02
ORD-00030,CUST-0012,PRD-0098,-10.00,2,returned,mobile,2024-01-03
ORD-00031,CUST-0013,PRD-0001,95.25,5,pending,marketplace,2024-01-04
ORD-00032,CUST-0014,PRD-0002,319.98,3,shipped,store,2024-01-05
ORD-00033,CUST-0015,PRD-0003,614.20,2,delivered,web,2024-01-06
ORD-00034,CUST-0016,PRD-0004,1076.00,4,cancelled,mobile,2024-01-07
ORD-00035,CUST-0017,PRD-0005,197.64,4,returned,marketplace,2024-01-08
,CUST-0001,PRD-0001,25.00,1,pending,web,2024-01-15
ORD-00991,CUST-0002,PRD-0002,-12.50,1,shipped,web,2024-01-15
ORD-00992,CUST-0003,PRD-0003,40.00,2,exploded,mobile,2024-01-15
BAD-ID,CUST-0004,PRD-0004,15.00,1,delivered,store,2024-01-15
ORD-00993,CUST-0005,PRD-0005,10.00,999,pending,web,2024-01-15
