sku,warehouse_id,quantity_on_hand,reorder_point,stock_status,last_counted_at
SKU-EL-0001,WH-02,331,29,in_stock,2024-01-02
SKU-AP-0002,WH-03,404,93,in_stock,2024-01-03
SKU-HM-0003,WH-04,49,19,in_stock,2024-01-04
SKU-SP-0004,WH-01,548,22,in_stock,2024-01-05
SKU-GR-0005,WH-02,374,84,in_stock,2024-01-06
SKU-EL-0006,WH-03,59,74,low_stock,2024-01-07
SKU-AP-0007,WH-04,219,14,in_stock,2024-01-08
SKU-HM-0008,WH-01,88,65,in_stock,2024-01-09
SKU-SP-0009,WH-02,428,18,in_stock,2024-01-10
SKU-GR-0010,WH-03,246,21,in_stock,2024-01-11
SKU-EL-0011,WH-04,564,64,in_stock,2024-01-12
SKU-AP-0012,WH-01,60,115,low_stock,2024-01-13
SKU-HM-0013,WH-02,579,25,in_stock,2024-01-14
SKU-SP-0014,WH-03,228,90,in_stock,2024-01-01
SKU-GR-0015,WH-04,642,84,in_stock,2024-01-02
SKU-EL-0016,WH-01,63,83,low_stock,2024-01-03
SKU-AP-0017,WH-02,599,60,in_stock,2024-01-04
SKU-HM-0018,WH-03,50,38,in_stock,2024-01-05
SKU-SP-0019,WH-04,47,81,low_stock,2024-01-06
SKU-GR-0020,WH-01,136,47,discontinued,2024-01-07
SKU-EL-0021,WH-02,429,28,in_stock,2024-01-08
SKU-AP-0022,WH-03,553,25,in_stock,2024-01-09
BADSKU,WH-01,10,5,in_stock,2024-01-15
SKU-EL-0099,WH-02,-3,10,in_stock,2024-01-15
SKU-AP-0098,WH-03,50,20,ghost_stock,2024-01-15
