order_id,customer_id,sku,order_amount,quantity,status,business_unit,order_date
EO-000001,CUST-0002,SKU-EL-0001,711.30,5,pending,retail,2024-01-02
EO-000002,CUST-0003,SKU-AP-0002,90.75,3,confirmed,wholesale,2024-01-03
EO-000003,CUST-0004,SKU-HM-0003,384.96,4,shipped,marketplace,2024-01-04
EO-000004,CUST-0005,SKU-SP-0004,286.54,2,delivered,b2b,2024-01-05
EO-000005,CUST-0006,SKU-GR-0005,506.48,4,cancelled,retail,2024-01-06
EO-000006,CUST-0007,SKU-EL-0006,1367.94,7,returned,wholesale,2024-01-07
EO-000007,CUST-0008,SKU-AP-0007,1187.68,8,pending,marketplace,2024-01-08
EO-000008,CUST-0009,SKU-HM-0008,748.72,8,confirmed,b2b,2024-01-09
EO-000009,CUST-0010,SKU-SP-0009,798.48,4,shipped,retail,2024-01-10
EO-000010,CUST-0011,SKU-GR-0010,100.20,4,delivered,wholesale,2024-01-11
EO-000011,CUST-0012,SKU-EL-0011,668.35,5,cancelled,marketplace,2024-01-12
EO-000012,CUST-0013,SKU-AP-0012,1102.26,6,returned,b2b,2024-01-13
EO-000013,CUST-0014,SKU-HM-0013,770.95,5,pending,retail,2024-01-14
EO-000014,CUST-0015,SKU-SP-0014,67.86,2,confirmed,wholesale,2024-01-01
EO-000015,CUST-0016,SKU-GR-0015,317.94,7,shipped,marketplace,2024-01-02
EO-000016,CUST-0017,SKU-EL-0016,253.44,6,delivered,b2b,2024-01-03
EO-000017,CUST-0018,SKU-AP-0017,866.56,8,cancelled,retail,2024-01-04
EO-000018,CUST-0001,SKU-HM-0018,384.64,2,returned,wholesale,2024-01-05
EO-000019,CUST-0002,SKU-SP-0019,529.98,6,pending,marketplace,2024-01-06
EO-000020,CUST-0003,SKU-GR-0020,903.72,6,confirmed,b2b,2024-01-07
EO-000021,CUST-0004,SKU-EL-0021,174.80,8,shipped,retail,2024-01-08
EO-000022,CUST-0005,SKU-AP-0022,472.90,2,delivered,wholesale,2024-01-09
EO-000023,CUST-0006,SKU-EL-0001,1406.24,8,cancelled,marketplace,2024-01-10
EO-000024,CUST-0007,SKU-AP-0002,39.72,2,returned,b2b,2024-01-11
EO-000025,CUST-0008,SKU-HM-0003,817.75,5,pending,retail,2024-01-12
EO-000026,CUST-0009,SKU-SP-0004,597.84,8,confirmed,wholesale,2024-01-13
EO-000027,CUST-0010,SKU-GR-0005,1556.24,7,shipped,marketplace,2024-01-14
EO-000028,CUST-0011,SKU-EL-0006,63.18,6,delivered,b2b,2024-01-01
EO-000029,CUST-0012,SKU-AP-0007,736.72,8,cancelled,retail,2024-01-02
EO-000030,CUST-0013,SKU-HM-0008,251.90,2,returned,wholesale,2024-01-03
EO-000031,CUST-0014,SKU-SP-0009,772.88,4,pending,marketplace,2024-01-04
EO-000032,CUST-0015,SKU-GR-0010,557.70,3,confirmed,b2b,2024-01-05
EO-000033,CUST-0016,SKU-EL-0011,705.46,7,shipped,retail,2024-01-06
EO-000034,CUST-0017,SKU-AP-0012,197.92,8,delivered,wholesale,2024-01-07
EO-000035,CUST-0018,SKU-HM-0013,827.20,8,cancelled,marketplace,2024-01-08
,CUST-0001,SKU-EL-0001,20.00,1,pending,retail,2024-01-15
EO-000991,CUST-0002,SKU-EL-0002,-9.99,1,confirmed,retail,2024-01-15
EO-000992,CUST-0003,SKU-AP-0003,45.00,2,lost_in_space,marketplace,2024-01-15
BAD-ORDER,CUST-0004,SKU-HM-0004,30.00,1,shipped,wholesale,2024-01-15
EO-000993,CUST-0005,SKU-SP-0005,12.00,900,pending,b2b,2024-01-15
