order_id,customer_id,product_category,quantity,unit_price,total_amount,order_status,order_timestamp,region
ORD-20240115-00001,CUST-6606,electronics,4,443.7,1774.8,cancelled,2024-01-15T09:09:00,us-west
ORD-20240115-00002,CUST-5076,books,3,18.67,56.01,pending,2024-01-15T23:27:00,eu-central
ORD-20240115-00003,CUST-9378,sports,2,291.34,582.68,shipped,2024-01-15T04:51:00,ap-south
ORD-20240115-00004,CUST-9762,sports,4,372.92,1491.68,shipped,2024-01-15T07:24:00,us-east
ORD-20240115-00005,CUST-2560,books,2,402.35,804.7,delivered,2024-01-15T11:01:00,ap-south
ORD-20240115-00006,CUST-7240,home,2,175.97,351.94,shipped,2024-01-15T01:05:00,us-east
ORD-20240115-00007,CUST-6867,home,2,453.87,907.74,cancelled,2024-01-15T12:11:00,eu-central
ORD-20240115-00008,CUST-4476,sports,2,234.52,469.04,pending,2024-01-15T15:10:00,us-east
ORD-20240115-00009,CUST-6163,home,4,207.75,831.0,cancelled,2024-01-15T01:35:00,us-west
ORD-20240115-00010,CUST-7143,books,2,53.96,107.92,shipped,2024-01-15T20:44:00,ap-south
ORD-20240115-00011,CUST-9753,sports,1,40.8,40.8,shipped,2024-01-15T00:40:00,us-east
ORD-20240115-00012,CUST-2866,home,1,322.25,322.25,delivered,2024-01-15T04:33:00,us-east
ORD-20240115-00013,CUST-6179,sports,2,488.34,976.68,delivered,2024-01-15T06:05:00,us-east
ORD-20240115-00014,CUST-5858,electronics,2,236.42,472.84,pending,2024-01-15T12:58:00,eu-central
ORD-20240115-00015,CUST-9837,electronics,2,341.12,682.24,pending,2024-01-15T17:56:00,us-west
ORD-20240115-00016,CUST-3547,home,4,489.13,1956.52,delivered,2024-01-15T08:46:00,ap-south
ORD-20240115-00017,CUST-1646,electronics,2,191.1,382.2,delivered,2024-01-15T09:49:00,eu-central
ORD-20240115-00018,CUST-4465,home,4,395.48,1581.92,shipped,2024-01-15T16:01:00,us-west
ORD-20240115-00019,CUST-4860,sports,3,100.02,300.06,cancelled,2024-01-15T00:26:00,us-east
ORD-20240115-00020,CUST-1017,sports,5,168.15,840.75,pending,2024-01-15T00:57:00,eu-central
ORD-20240115-00021,CUST-2361,books,3,378.06,1134.18,cancelled,2024-01-15T01:10:00,ap-south
